Name,Season,pHMin,pHMax,RainMin,RainMax,FertilizerRsPerAcre,PriceRsPerKg,YieldPoints
Rice,Kharif,5.5,6.5,1000,2000,6500,22,800:900;1200:1500;1800:2100;2200:2250
Wheat,Rabi,6.0,7.5,400,800,5200,24,300:700;500:1000;700:1250;900:1300
Maize,Kharif,5.8,7.0,500,1000,4800,20,400:700;700:1100;1000:1450;1300:1500
Cotton,Kharif,6.0,8.0,600,1100,8500,60,400:350;700:550;1000:700;1300:720
Sugarcane,Kharif,6.5,7.5,1500,2500,15000,3,1200:28000;1800:34000;2400:39000;3000:40000
Groundnut,Kharif,6.0,7.0,500,1000,4200,55,400:500;700:750;1000:950;1200:980
Bajra (Pearl Millet),Kharif,6.2,7.8,350,700,3200,23,250:350;450:550;650:750;850:800
Soybean,Kharif,6.0,7.0,600,1000,5000,42,450:500;700:800;950:1050;1150:1080
Mustard,Rabi,6.0,7.5,300,600,3800,48,200:350;400:550;600:700;800:720
Chickpea (Gram),Rabi,6.2,7.8,300,650,3600,50,200:300;400:500;600:650;800:660
Moong (Green Gram),Zaid,6.0,7.5,300,600,3000,70,200:400;350:600;500:750;650:760
Watermelon,Zaid,6.0,7.5,400,800,9000,18,300:9000;500:14000;700:18000;900:19000
Cucumber,Zaid,6.0,7.5,350,700,7000,20,250:6000;400:9000;600:12000;800:12500
